round,total_adversarial_episodes,total_ego_episodes,adv_episodes,adv_avg_reward,adv_crash_rate,adv_agents_crash_rate,adv_adv_collision_rate,adv_ego_collision_rate,adv_other_collision_rate,adv_recovery_rate,adv_road_completion_rate,adv_road_completion_rate_full,ego_episodes,ego_avg_reward,ego_crash_rate,ego_agents_crash_rate,ego_adv_adv_collision_rate,ego_adv_ego_collision_rate,ego_adv_other_collision_rate,ego_adv_recovery_rate,ego_road_completion_rate,ego_road_completion_rate_full,ego_route_completion_distance,ego_route_length,ego_avg_speed
1,214,344,214,324.3487445241992,0.056074766355140186,0.11682242990654206,0.06074766355140187,0.056074766355140186,0.0,0.056074766355140186,0.4037775874484119,0.3997398115739278,344,119.0838177591486,0.17732558139534885,0.22674418604651161,0.04941860465116279,0.17732558139534885,0.005813953488372093,0.0436046511627907,0.6447285100925559,0.6382812249916303,198.00000000000003,200.0,12.919529848140872
2,414,844,200,292.24341289573835,0.195,0.215,0.025,0.195,0.0,0.02,0.4179144455344723,0.41373530107912765,500,116.63448697146407,0.184,0.236,0.054,0.184,0.002,0.04,0.6344905284469953,0.6281456231625254,198.00000000000003,200.0,12.51012792759973
3,667,1328,253,260.94104580287893,0.13438735177865613,0.26877470355731226,0.13438735177865613,0.13438735177865613,0.007905138339920948,0.13043478260869565,0.7029328543913849,0.6959035258474712,484,116.46242787053586,0.14256198347107438,0.29958677685950413,0.16942148760330578,0.14256198347107438,0.002066115702479339,0.16942148760330578,0.6434860931776293,0.637051232245853,198.00000000000003,200.0,15.24144327226236
4,867,1696,200,327.43499484064137,0.045,0.12,0.09,0.045,0.0,0.08,0.5402118910162337,0.5348097721060715,368,123.35670513121413,0.09510869565217392,0.1793478260869565,0.09510869565217392,0.09510869565217392,0.0,0.09239130434782608,0.6749413932954134,0.6681919793624593,198.00000000000003,200.0,16.483931717135057
5,1167,2196,300,348.5989995909972,0.14,0.20333333333333334,0.06333333333333334,0.14,0.0,0.05333333333333334,0.25566392757645817,0.25310728830069357,500,88.2724833518461,0.23,0.32,0.098,0.23,0.0,0.086,0.5307091426275578,0.5254020512012822,198.00000000000003,200.0,10.085988081468377
6,1417,2604,250,359.3578323672939,0.012,0.056,0.048,0.012,0.0,0.048,0.5592313499316443,0.553639036432328,408,122.17022978647921,0.14705882352941177,0.2034313725490196,0.058823529411764705,0.14705882352941177,0.0,0.04656862745098039,0.6585332755347655,0.651947942779418,198.00000000000003,200.0,13.057753874072379
7,1617,3104,200,337.2647317231415,0.045,0.115,0.07,0.045,0.0,0.065,0.4458315512506946,0.44137323573818776,500,111.41157167274098,0.13,0.246,0.126,0.13,0.008,0.118,0.6249308117701349,0.6186815036524336,198.00000000000003,200.0,15.131731069135961
8,1917,3404,300,283.58301835503863,0.17666666666666667,0.29,0.11333333333333333,0.17666666666666667,0.0,0.09333333333333334,0.5830047912591476,0.5771747433465563,300,123.93338286519618,0.03666666666666667,0.06666666666666667,0.03,0.03666666666666667,0.0,0.013333333333333334,0.667081911033326,0.6604110919229929,198.00000000000006,200.0,7.428282917296939
9,2117,3904,200,306.2681614171226,0.135,0.22,0.1,0.135,0.0,0.085,0.4281859811461372,0.42390412133467587,500,64.09611613255989,0.278,0.342,0.078,0.278,0.0,0.068,0.4336392545928862,0.42930286204695745,198.00000000000003,200.0,9.251880182353425
10,2317,4204,200,338.48820143379737,0.2,0.205,0.005,0.2,0.0,0.005,0.2643957890457244,0.2617518311552672,300,117.30668620245197,0.043333333333333335,0.07,0.02666666666666667,0.043333333333333335,0.0,0.02,0.6355399441013709,0.6291845446603573,198.00000000000006,200.0,6.715530530117559
