behavior_type,data_id,decoded_params,init_id,parameters,route_id,safebench_scenario_name,scenario_id,scenario_name,scene_id,seed,template_name
sudden_decel,0,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 3.9171928401970044, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 14.844477500801354, ""front_offset"": 26.201740159249113, ""template_name"": ""straight_follow"", ""trigger_distance"": 14.890569870852186}",0,0.pth,0,DynamicObjectCrossing,1,scenario_01,1,100669,straight_follow
sudden_decel,1,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 4.214022801660002, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 10.00302992895043, ""front_offset"": 25.72857878545006, ""template_name"": ""straight_follow"", ""trigger_distance"": 13.754946189026754}",1,1.pth,0,DynamicObjectCrossing,1,scenario_01,2,100670,straight_follow
sudden_decel,2,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 2.9393822778300795, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 11.657350783151509, ""front_offset"": 21.709417913830585, ""template_name"": ""straight_follow"", ""trigger_distance"": 13.307797405108074}",2,2.pth,0,DynamicObjectCrossing,1,scenario_01,3,100671,straight_follow
sudden_decel,3,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 4.770574211213749, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 15.698710857105427, ""front_offset"": 25.191614211727394, ""template_name"": ""straight_follow"", ""trigger_distance"": 13.661691137224963}",3,3.pth,0,DynamicObjectCrossing,1,scenario_01,4,100672,straight_follow
sudden_decel,4,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 4.02460991871145, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 11.26079414673177, ""front_offset"": 24.33691444935773, ""template_name"": ""straight_follow"", ""trigger_distance"": 12.39644999035877}",4,4.pth,0,DynamicObjectCrossing,1,scenario_01,5,100673,straight_follow
sudden_decel,5,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 5.370166467695005, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 13.198940541877628, ""front_offset"": 27.95247459007893, ""template_name"": ""straight_follow"", ""trigger_distance"": 12.72796346819084}",5,5.pth,0,DynamicObjectCrossing,1,scenario_01,6,100674,straight_follow
sudden_decel,6,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 3.8209607778716936, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 15.392246928538864, ""front_offset"": 25.78331189247894, ""template_name"": ""straight_follow"", ""trigger_distance"": 18.68267760222125}",6,6.pth,0,DynamicObjectCrossing,1,scenario_01,7,100675,straight_follow
sudden_decel,7,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 3.6105598634764706, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 14.362490654393525, ""front_offset"": 25.796638816914808, ""template_name"": ""straight_follow"", ""trigger_distance"": 16.258836229317463}",7,7.pth,0,DynamicObjectCrossing,1,scenario_01,8,100676,straight_follow
sudden_decel,8,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 5.150218712643043, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 12.970229400244323, ""front_offset"": 28.339385395846357, ""template_name"": ""straight_follow"", ""trigger_distance"": 11.146791225235106}",8,8.pth,0,DynamicObjectCrossing,1,scenario_01,9,100677,straight_follow
sudden_decel,9,"{""behavior_type"": ""sudden_decel"", ""decel_target_speed"": 5.614794919141438, ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 12.216978768301612, ""front_offset"": 31.776874581349695, ""template_name"": ""straight_follow"", ""trigger_distance"": 12.884230574362716}",9,9.pth,0,DynamicObjectCrossing,1,scenario_01,10,100678,straight_follow
speed_oscillation,10,"{""behavior_type"": ""speed_oscillation"", ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 13.618920214112125, ""front_offset"": 24.127334501334374, ""oscillation_amplitude"": 4.047939315283109, ""oscillation_base_speed"": 6.760087559070738, ""oscillation_period"": 3.0834046731451057, ""template_name"": ""straight_follow"", ""trigger_distance"": 15.87320904667274}",0,0.pth,1,DynamicObjectCrossing,1,scenario_01,11,101669,straight_follow
speed_oscillation,11,"{""behavior_type"": ""speed_oscillation"", ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 14.74608197970412, ""front_offset"": 28.112337962525878, ""oscillation_amplitude"": 3.485904722286574, ""oscillation_base_speed"": 7.425754325324359, ""oscillation_period"": 2.774154286244203, ""template_name"": ""straight_follow"", ""trigger_distance"": 16.942599534969073}",1,1.pth,1,DynamicObjectCrossing,1,scenario_01,12,101670,straight_follow
speed_oscillation,12,"{""behavior_type"": ""speed_oscillation"", ""ego_lane"": 1, ""ego_speed"": 18.0, ""front_initial_speed"": 15.125615259155998, ""front_offset"": 26.812341254132043, ""oscillation_amplitude"": 2.862867436539835, ""oscillation_base_speed"": 6.531541188214608, ""oscillation_period"": 2.90996660880129, ""template_name"": ""straight_follow"", ""trigger_distance"": 19.352716535352897}",2,2.pth,1,DynamicObjectCrossing,1,scenario_01,13,101671,straight_follow
