model_group,model_label,checkpoint_step,scenario_id,scenario_name,route_id,episodes,route_completion_mean,route_completion_var,Road completion_mean_var,crash_mean,crash_var,Ego crash rate_mean_var,combined_efficiency_mean,combined_efficiency_var,Traffic efficiency_mean_var,ego_reward_mean,ego_reward_var,Ego reward_mean_var,episode_reward_mean,episode_reward_var,Average reward_mean_var,mean_speed_mean,mean_speed_var,Average speed_mean_var,ego_route_distance_m_mean,ego_route_distance_m_var,Driven distance_mean_var
training_final,ppo_torch,188751578016257,1,scenario_01,0,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,1,scenario_01,1,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,1,scenario_01,2,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,1,scenario_01,3,10,0.5858057812499979,0.01024617283791491,0.5858 ± 0.0102,1.0,0.0,1.0000 ± 0.0000,0.42473299999999947,0.0013677048641249868,0.4247 ± 0.0014,2293.2231249999904,163938.7654066381,2293.2231 ± 163938.7654,2293.2231249999904,163938.7654066381,2293.2231 ± 163938.7654,21.135937499999915,0.21661962890623676,21.1359 ± 0.2166,117.16115624999955,409.8469135165962,117.1612 ± 409.8469
training_final,ppo_torch,188751578016257,2,scenario_02,0,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,2,scenario_02,1,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,2,scenario_02,2,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,2,scenario_02,3,10,0.5397454687499981,0.0016520683449462678,0.5397 ± 0.0017,1.0,0.0,1.0000 ± 0.0000,0.4079824999999994,0.00022445263687499812,0.4080 ± 0.0002,2108.9818749999918,26433.09351914024,2108.9819 ± 26433.0935,2108.9818749999918,26433.09351914024,2108.9819 ± 26433.0935,20.927812499999924,0.03724892578124746,20.9278 ± 0.0372,107.9490937499996,66.0827337978508,107.9491 ± 66.0827
training_final,ppo_torch,188751578016257,3,scenario_03,0,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,3,scenario_03,1,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,3,scenario_03,2,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,3,scenario_03,3,10,0.5433609374999981,0.008069195122558496,0.5434 ± 0.0081,1.0,0.0,1.0000 ± 0.0000,0.40918812499999946,0.0010859952719531152,0.4092 ± 0.0011,2123.443749999992,129107.12196093565,2123.4437 ± 129107.1220,2123.443749999992,129107.12196093565,2123.4437 ± 129107.1220,20.93906249999992,0.17580322265623882,20.9391 ± 0.1758,108.67218749999964,322.7678049023399,108.6722 ± 322.7678
training_final,ppo_torch,188751578016257,4,scenario_04,0,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,4,scenario_04,1,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,4,scenario_04,2,10,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5751914285714272,0.0,0.5752 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,4016.2499999999773,2.0679515313825692e-25,4016.2500 ± 0.0000,22.94999999999987,0.0,22.9500 ± 0.0000,200.8124999999989,0.0,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,4,scenario_04,3,10,0.6009792187499976,0.016484185772973423,0.6010 ± 0.0165,1.0,0.0,1.0000 ± 0.0000,0.43016787499999937,0.0022049393215781074,0.4302 ± 0.0022,2353.91687499999,263746.97236757434,2353.9169 ± 263746.9724,2353.91687499999,263746.97236757434,2353.9169 ± 263746.9724,21.200624999999913,0.3511792968749796,21.2006 ± 0.3512,120.19584374999951,659.3674309189366,120.1958 ± 659.3674
