model_group,model_label,checkpoint_step,scenario_id,scenario_name,route_id,episodes,Road completion_mean_var,Ego crash rate_mean_var,Traffic efficiency_mean_var,Ego reward_mean_var,Average reward_mean_var,Average speed_mean_var,Driven distance_mean_var
training_final,ppo_torch,188751578016257,1,scenario_01,0,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,1,scenario_01,1,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,1,scenario_01,2,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,1,scenario_01,3,10,0.5858 ± 0.0102,1.0000 ± 0.0000,0.4247 ± 0.0014,2293.2231 ± 163938.7654,2293.2231 ± 163938.7654,21.1359 ± 0.2166,117.1612 ± 409.8469
training_final,ppo_torch,188751578016257,2,scenario_02,0,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,2,scenario_02,1,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,2,scenario_02,2,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,2,scenario_02,3,10,0.5397 ± 0.0017,1.0000 ± 0.0000,0.4080 ± 0.0002,2108.9819 ± 26433.0935,2108.9819 ± 26433.0935,20.9278 ± 0.0372,107.9491 ± 66.0827
training_final,ppo_torch,188751578016257,3,scenario_03,0,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,3,scenario_03,1,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,3,scenario_03,2,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,3,scenario_03,3,10,0.5434 ± 0.0081,1.0000 ± 0.0000,0.4092 ± 0.0011,2123.4437 ± 129107.1220,2123.4437 ± 129107.1220,20.9391 ± 0.1758,108.6722 ± 322.7678
training_final,ppo_torch,188751578016257,4,scenario_04,0,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,4,scenario_04,1,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,4,scenario_04,2,10,1.0000 ± 0.0000,0.0000 ± 0.0000,0.5752 ± 0.0000,4016.2500 ± 0.0000,4016.2500 ± 0.0000,22.9500 ± 0.0000,200.8125 ± 0.0000
training_final,ppo_torch,188751578016257,4,scenario_04,3,10,0.6010 ± 0.0165,1.0000 ± 0.0000,0.4302 ± 0.0022,2353.9169 ± 263746.9724,2353.9169 ± 263746.9724,21.2006 ± 0.3512,120.1958 ± 659.3674
